/Users/stefaniancu/Documents/Q-learning-CNN-in-Flappy-Bird-Environment/.venv/lib/python3.13/site-packages/gymnasium/utils/passive_env_checker.py:158: UserWarning: WARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Users/stefaniancu/Documents/Q-learning-CNN-in-Flappy-Bird-Environment/.venv/lib/python3.13/site-packages/gymnasium/utils/passive_env_checker.py:158: UserWarning: WARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
...
Episode  3439 | Reward:    3.50 | Avg(100):    7.46 | Epsilon: 0.0620 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69300 | Ep Time:   0.60s | Avg100 Time:   1.85s | Total Time:   42.62m
Episode  3440 | Reward:    6.10 | Avg(100):    7.42 | Epsilon: 0.0620 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69324 | Ep Time:   0.94s | Avg100 Time:   1.84s | Total Time:   42.64m
Episode  3441 | Reward:   -0.00 | Avg(100):    7.35 | Epsilon: 0.0620 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69340 | Ep Time:   0.63s | Avg100 Time:   1.83s | Total Time:   42.65m
Episode  3442 | Reward:    6.50 | Avg(100):    7.37 | Epsilon: 0.0620 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69374 | Ep Time:   1.28s | Avg100 Time:   1.84s | Total Time:   42.67m
Episode  3443 | Reward:   16.30 | Avg(100):    7.51 | Epsilon: 0.0619 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69499 | Ep Time:   4.91s | Avg100 Time:   1.88s | Total Time:   42.75m
Episode  3444 | Reward:   13.70 | Avg(100):    7.52 | Epsilon: 0.0619 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69542 | Ep Time:   1.73s | Avg100 Time:   1.87s | Total Time:   42.78m
Episode  3445 | Reward:    4.20 | Avg(100):    7.43 | Epsilon: 0.0619 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69558 | Ep Time:   0.65s | Avg100 Time:   1.85s | Total Time:   42.79m
Episode  3446 | Reward:    3.50 | Avg(100):    7.43 | Epsilon: 0.0619 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69592 | Ep Time:   1.31s | Avg100 Time:   1.86s | Total Time:   42.81m
Episode  3447 | Reward:   12.90 | Avg(100):    7.43 | Epsilon: 0.0618 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69674 | Ep Time:   3.22s | Avg100 Time:   1.86s | Total Time:   42.86m
Episode  3448 | Reward:   11.60 | Avg(100):    7.53 | Epsilon: 0.0618 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69780 | Ep Time:   4.07s | Avg100 Time:   1.90s | Total Time:   42.93m
