Episode   142 | Reward:   -1.30 | Avg(100):   -1.34 | Epsilon: 0.9486 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1737
Episode   143 | Reward:   -3.70 | Avg(100):   -1.36 | Epsilon: 0.9482 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1749
Episode   144 | Reward:   -1.30 | Avg(100):   -1.39 | Epsilon: 0.9479 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1761
Episode   145 | Reward:   -1.90 | Avg(100):   -1.40 | Epsilon: 0.9476 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1773
Episode   146 | Reward:   -1.30 | Avg(100):   -1.37 | Epsilon: 0.9472 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1785
Episode   147 | Reward:    0.50 | Avg(100):   -1.34 | Epsilon: 0.9469 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1797
Episode   148 | Reward:   -2.50 | Avg(100):   -1.35 | Epsilon: 0.9465 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1809
Episode   149 | Reward:   -1.30 | Avg(100):   -1.36 | Epsilon: 0.9462 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1821
Episode   150 | Reward:   -1.30 | Avg(100):   -1.36 | Epsilon: 0.9458 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1833
Episode   151 | Reward:   -1.30 | Avg(100):   -1.36 | Epsilon: 0.9455 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1845
Episode   152 | Reward:   -1.30 | Avg(100):   -1.36 | Epsilon: 0.9451 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1857
Episode   153 | Reward:   -3.70 | Avg(100):   -1.38 | Epsilon: 0.9448 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1869
Episode   154 | Reward:   -1.30 | Avg(100):   -1.38 | Epsilon: 0.9444 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1881
Episode   155 | Reward:    0.60 | Avg(100):   -1.34 | Epsilon: 0.9440 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1895
Episode   156 | Reward:   -1.30 | Avg(100):   -1.34 | Epsilon: 0.9437 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1907
